query_protein,train_protein,similarity_score
protein_0023,protein_0000,0.14130434782608695
protein_0023,protein_0001,0.13212161269001982
protein_0023,protein_0002,0.1827956989247312
protein_0023,protein_0003,0.14953271028037382
protein_0023,protein_0004,0.10344827586206896
protein_0023,protein_0005,0.16091954022988506
protein_0023,protein_0006,0.18095238095238095
protein_0023,protein_0007,0.1773809523809524
protein_0023,protein_0008,0.12037037037037036
protein_0023,protein_0009,0.22105263157894736
protein_0023,protein_0010,0.13978494623655913
protein_0023,protein_0011,0.16326530612244897
protein_0023,protein_0012,0.15306122448979592
protein_0023,protein_0013,0.16483516483516483
protein_0023,protein_0014,0.19366074538488331
protein_0023,protein_0015,0.19047619047619047
protein_0023,protein_0016,0.15151515151515152
protein_0023,protein_0017,0.140625
protein_0023,protein_0018,0.1792452830188679
protein_0023,protein_0019,0.16185410334346506
protein_0023,protein_0020,0.16666666666666666
protein_0023,protein_0021,0.18478260869565216
protein_0023,protein_0022,0.641653290529695
protein_0023,protein_0024,0.14393939393939395
protein_0023,protein_0025,0.1650485436893204
protein_0023,protein_0026,0.13636363636363635
protein_0023,protein_0027,0.21771978021978022
protein_0023,protein_0028,0.11926605504587157
protein_0023,protein_0029,0.13356072766185126
protein_0023,protein_0030,0.11475409836065574
protein_0023,protein_0031,0.17475728155339806
protein_0023,protein_0032,0.11494252873563218
protein_0023,protein_0033,0.1919191919191919
protein_0023,protein_0034,0.19
protein_0023,protein_0035,0.11224489795918367
protein_0023,protein_0036,0.13169934640522876
protein_0023,protein_0038,0.14934289127837513
protein_0023,protein_0039,0.21052631578947367
protein_0023,protein_0040,0.10416666666666667
protein_0023,protein_0041,0.15625
protein_0023,protein_0042,0.08695652173913043
protein_0023,protein_0043,0.10227272727272728
protein_0023,protein_0044,0.1588785046728972
protein_0023,protein_0045,0.18947368421052632
protein_0023,protein_0046,0.14485294117647057
protein_0023,protein_0047,0.2
protein_0023,protein_0048,0.2222222222222222
protein_0023,protein_0049,0.17346938775510204
protein_0023,protein_0050,0.1391304347826087
protein_0023,protein_0051,0.17761857707509882
protein_0023,protein_0052,0.10227272727272728
protein_0023,protein_0053,0.1111111111111111
protein_0023,protein_0054,0.17094017094017094
protein_0023,protein_0055,0.14166666666666666
protein_0023,protein_0056,0.16597771387491012
protein_0023,protein_0057,0.15403710478181343
protein_0023,protein_0058,0.19540229885057472
protein_0023,protein_0059,0.12643678160919541
protein_0023,protein_0060,0.19385026737967914
protein_0023,protein_0061,0.13131313131313133
protein_0023,protein_0062,0.18556701030927836
protein_0023,protein_0063,0.11682242990654206
protein_0023,protein_0064,0.125
protein_0023,protein_0065,0.15384615384615385
protein_0023,protein_0066,0.17307692307692307
protein_0023,protein_0070,0.14285714285714285
protein_0023,protein_0071,0.17391304347826086
protein_0023,protein_0072,0.1452922077922078
protein_0023,protein_0073,0.16037735849056603
protein_0023,protein_0074,0.1368421052631579
protein_0023,protein_0075,0.19400990099009902
protein_0023,protein_0076,0.15841584158415842
protein_0023,protein_0077,0.13541666666666666
protein_0023,protein_0078,0.14423076923076922
protein_0023,protein_0079,0.14423076923076922
protein_0023,protein_0080,0.1782178217821782
protein_0023,protein_0081,0.15730337078651685
protein_0023,protein_0082,0.16822429906542055
protein_0023,protein_0083,0.19230769230769232
protein_0023,protein_0084,0.16985286758082274
protein_0023,protein_0085,0.2
protein_0023,protein_0087,0.14578005115089515
protein_0023,protein_0088,0.1797752808988764
protein_0023,protein_0090,0.17747862606869658
protein_0023,protein_0091,0.18584070796460178
protein_0023,protein_0093,0.15151515151515152
