query_protein,train_protein,similarity_score
protein_0020,protein_0000,0.3595505617977528
protein_0020,protein_0001,0.15730337078651685
protein_0020,protein_0002,0.13402061855670103
protein_0020,protein_0003,0.375
protein_0020,protein_0004,0.3448275862068966
protein_0020,protein_0005,0.1935483870967742
protein_0020,protein_0006,0.2840909090909091
protein_0020,protein_0007,0.14942528735632185
protein_0020,protein_0008,0.19607843137254902
protein_0020,protein_0009,0.2087912087912088
protein_0020,protein_0010,0.3448275862068966
protein_0020,protein_0011,0.34444444444444444
protein_0020,protein_0012,0.3372093023255814
protein_0020,protein_0013,0.18604651162790697
protein_0020,protein_0014,0.17204301075268819
protein_0020,protein_0015,0.2018348623853211
protein_0020,protein_0016,0.1619047619047619
protein_0020,protein_0017,0.1171875
protein_0020,protein_0018,0.3218390804597701
protein_0020,protein_0019,0.22093023255813954
protein_0020,protein_0022,0.18627450980392157
protein_0020,protein_0023,0.16666666666666666
protein_0020,protein_0024,0.16296296296296298
protein_0020,protein_0025,0.45454545454545453
protein_0020,protein_0026,0.1259259259259259
protein_0020,protein_0027,0.15384615384615385
protein_0020,protein_0028,0.13592233009708737
protein_0020,protein_0029,0.13953488372093023
protein_0020,protein_0030,0.1693548387096774
protein_0020,protein_0031,0.17757009345794392
protein_0020,protein_0032,0.3707865168539326
protein_0020,protein_0033,0.3333333333333333
protein_0020,protein_0034,0.3563218390804598
protein_0020,protein_0035,0.18181818181818182
protein_0020,protein_0036,0.16483516483516483
protein_0020,protein_0037,0.24719101123595505
protein_0020,protein_0038,0.24719101123595505
protein_0020,protein_0039,0.2111111111111111
protein_0020,protein_0040,0.13333333333333333
protein_0020,protein_0041,0.3516483516483517
protein_0020,protein_0042,0.23655913978494625
protein_0020,protein_0043,0.21839080459770116
protein_0020,protein_0044,0.20689655172413793
protein_0020,protein_0045,0.3563218390804598
protein_0020,protein_0046,0.125
protein_0020,protein_0047,0.27586206896551724
protein_0020,protein_0049,0.27586206896551724
protein_0020,protein_0051,0.13953488372093023
protein_0020,protein_0052,0.3218390804597701
protein_0020,protein_0053,0.3956043956043956
protein_0020,protein_0055,0.17073170731707318
protein_0020,protein_0056,0.14
protein_0020,protein_0057,0.12643678160919541
protein_0020,protein_0059,0.21839080459770116
protein_0020,protein_0060,0.11320754716981132
protein_0020,protein_0061,0.14130434782608695
protein_0020,protein_0062,0.38202247191011235
protein_0020,protein_0063,0.08333333333333333
protein_0020,protein_0064,0.38202247191011235
protein_0020,protein_0065,0.12380952380952381
protein_0020,protein_0066,0.13761467889908258
protein_0020,protein_0067,0.313953488372093
protein_0020,protein_0068,0.26373626373626374
protein_0020,protein_0069,0.3218390804597701
protein_0020,protein_0070,0.23863636363636365
protein_0020,protein_0072,0.1511627906976744
protein_0020,protein_0073,0.25287356321839083
protein_0020,protein_0074,0.2
protein_0020,protein_0075,0.14423076923076922
protein_0020,protein_0076,0.10465116279069768
protein_0020,protein_0077,0.39325842696629215
protein_0020,protein_0078,0.12745098039215685
protein_0020,protein_0079,0.12745098039215685
protein_0020,protein_0080,0.39080459770114945
protein_0020,protein_0081,0.39080459770114945
protein_0020,protein_0082,0.14035087719298245
protein_0020,protein_0083,0.3103448275862069
protein_0020,protein_0084,0.21839080459770116
protein_0020,protein_0085,0.14035087719298245
protein_0020,protein_0086,0.14035087719298245
protein_0020,protein_0088,0.3563218390804598
protein_0020,protein_0089,0.13333333333333333
protein_0020,protein_0090,0.12931034482758622
protein_0020,protein_0091,0.15702479338842976
protein_0020,protein_0092,0.15702479338842976
protein_0020,protein_0093,0.3516483516483517
protein_0020,protein_0094,0.19298245614035087
protein_0020,protein_0095,0.12931034482758622
protein_0020,protein_0096,0.13861386138613863
protein_0020,protein_0097,0.3333333333333333
protein_0020,protein_0098,0.367816091954023
protein_0020,protein_0100,0.20430107526881722
protein_0020,protein_0101,0.25287356321839083
protein_0020,protein_0103,0.1956521739130435
protein_0020,protein_0104,0.168
protein_0020,protein_0105,0.11627906976744186
protein_0020,protein_0107,0.40229885057471265
protein_0020,protein_0108,0.1839080459770115
protein_0020,protein_0109,0.13829787234042554
protein_0020,protein_0110,0.32558139534883723
protein_0020,protein_0111,0.26436781609195403
protein_0020,protein_0112,0.16831683168316833
protein_0020,protein_0113,0.29473684210526313
protein_0020,protein_0114,0.367816091954023
protein_0020,protein_0115,0.27956989247311825
protein_0020,protein_0116,0.16964285714285715
protein_0020,protein_0117,0.16964285714285715
protein_0020,protein_0118,0.16853932584269662
protein_0020,protein_0119,0.13761467889908258
protein_0020,protein_0120,0.4725274725274725
protein_0020,protein_0122,0.21839080459770116
protein_0020,protein_0123,0.14942528735632185
protein_0020,protein_0124,0.4725274725274725
protein_0020,protein_0125,0.125
protein_0020,protein_0126,0.18518518518518517
protein_0020,protein_0127,0.39080459770114945
protein_0020,protein_0128,0.4482758620689655
protein_0020,protein_0129,0.15730337078651685
protein_0020,protein_0131,0.13636363636363635
protein_0020,protein_0132,0.16521739130434782
protein_0020,protein_0133,0.16521739130434782
protein_0020,protein_0134,0.313953488372093
protein_0020,protein_0135,0.42857142857142855
protein_0020,protein_0136,0.18032786885245902
protein_0020,protein_0137,0.15384615384615385
protein_0020,protein_0138,0.15384615384615385
protein_0020,protein_0139,0.14942528735632185
protein_0020,protein_0140,0.3103448275862069
