query_protein,train_protein,similarity_score
protein_0012,protein_0000,0.4044943820224719
protein_0012,protein_0001,0.16279069767441862
protein_0012,protein_0002,0.13333333333333333
protein_0012,protein_0003,0.38636363636363635
protein_0012,protein_0004,0.3258426966292135
protein_0012,protein_0005,0.14736842105263157
protein_0012,protein_0006,0.5113636363636364
protein_0012,protein_0007,0.16279069767441862
protein_0012,protein_0008,0.19230769230769232
protein_0012,protein_0009,0.3103448275862069
protein_0012,protein_0010,0.5172413793103449
protein_0012,protein_0011,0.5862068965517241
protein_0012,protein_0013,0.12790697674418605
protein_0012,protein_0014,0.17894736842105263
protein_0012,protein_0015,0.16216216216216217
protein_0012,protein_0016,0.1485148514851485
protein_0012,protein_0017,0.15384615384615385
protein_0012,protein_0018,0.3448275862068966
protein_0012,protein_0019,0.19101123595505617
protein_0012,protein_0020,0.3372093023255814
protein_0012,protein_0021,0.12359550561797752
protein_0012,protein_0022,0.12244897959183673
protein_0012,protein_0023,0.15306122448979592
protein_0012,protein_0024,0.1076923076923077
protein_0012,protein_0025,0.3229166666666667
protein_0012,protein_0026,0.14685314685314685
protein_0012,protein_0027,0.1935483870967742
protein_0012,protein_0030,0.1323529411764706
protein_0012,protein_0031,0.15
protein_0012,protein_0032,0.3333333333333333
protein_0012,protein_0033,0.5747126436781609
protein_0012,protein_0034,0.5977011494252874
protein_0012,protein_0036,0.19767441860465115
protein_0012,protein_0037,0.25287356321839083
protein_0012,protein_0038,0.25287356321839083
protein_0012,protein_0039,0.32222222222222224
protein_0012,protein_0040,0.03488372093023256
protein_0012,protein_0042,0.21839080459770116
protein_0012,protein_0043,0.27586206896551724
protein_0012,protein_0045,0.3804347826086957
protein_0012,protein_0046,0.2159090909090909
protein_0012,protein_0047,0.45977011494252873
protein_0012,protein_0048,0.4827586206896552
protein_0012,protein_0049,0.5227272727272727
protein_0012,protein_0050,0.1485148514851485
protein_0012,protein_0052,0.32954545454545453
protein_0012,protein_0053,0.4222222222222222
protein_0012,protein_0054,0.17073170731707318
protein_0012,protein_0055,0.10256410256410256
protein_0012,protein_0056,0.15315315315315314
protein_0012,protein_0057,0.16279069767441862
protein_0012,protein_0058,0.13186813186813187
protein_0012,protein_0059,0.26436781609195403
protein_0012,protein_0060,0.13636363636363635
protein_0012,protein_0061,0.22105263157894736
protein_0012,protein_0062,0.3218390804597701
protein_0012,protein_0063,0.10328638497652583
protein_0012,protein_0064,0.3448275862068966
protein_0012,protein_0066,0.1320754716981132
protein_0012,protein_0067,0.5287356321839081
protein_0012,protein_0068,0.3870967741935484
protein_0012,protein_0069,0.5057471264367817
protein_0012,protein_0070,0.3103448275862069
protein_0012,protein_0071,0.4431818181818182
protein_0012,protein_0072,0.1744186046511628
protein_0012,protein_0073,0.3793103448275862
protein_0012,protein_0075,0.21495327102803738
protein_0012,protein_0076,0.17894736842105263
protein_0012,protein_0077,0.43820224719101125
protein_0012,protein_0078,0.1651376146788991
protein_0012,protein_0079,0.1651376146788991
protein_0012,protein_0080,0.3563218390804598
protein_0012,protein_0081,0.3448275862068966
protein_0012,protein_0082,0.16346153846153846
protein_0012,protein_0084,0.36363636363636365
protein_0012,protein_0086,0.16666666666666666
protein_0012,protein_0087,0.1839080459770115
protein_0012,protein_0088,0.38461538461538464
protein_0012,protein_0089,0.125
protein_0012,protein_0090,0.12173913043478261
protein_0012,protein_0091,0.15384615384615385
protein_0012,protein_0092,0.15384615384615385
protein_0012,protein_0093,0.5
protein_0012,protein_0094,0.12396694214876033
protein_0012,protein_0096,0.14
protein_0012,protein_0097,0.36046511627906974
protein_0012,protein_0098,0.32222222222222224
protein_0012,protein_0099,0.12
protein_0012,protein_0100,0.17391304347826086
protein_0012,protein_0101,0.3793103448275862
protein_0012,protein_0102,0.3626373626373626
protein_0012,protein_0103,0.27472527472527475
protein_0012,protein_0104,0.15079365079365079
protein_0012,protein_0105,0.1595744680851064
protein_0012,protein_0106,0.16216216216216217
protein_0012,protein_0108,0.2553191489361702
protein_0012,protein_0109,0.14772727272727273
protein_0012,protein_0110,0.45348837209302323
protein_0012,protein_0111,0.3333333333333333
protein_0012,protein_0112,0.1782178217821782
protein_0012,protein_0113,0.5632183908045977
protein_0012,protein_0114,0.34065934065934067
protein_0012,protein_0115,0.25287356321839083
protein_0012,protein_0116,0.12931034482758622
protein_0012,protein_0117,0.12931034482758622
protein_0012,protein_0118,0.19767441860465115
protein_0012,protein_0119,0.12264150943396226
protein_0012,protein_0120,0.3707865168539326
protein_0012,protein_0121,0.3707865168539326
protein_0012,protein_0122,0.26436781609195403
protein_0012,protein_0123,0.1797752808988764
protein_0012,protein_0124,0.3563218390804598
protein_0012,protein_0125,0.15841584158415842
protein_0012,protein_0126,0.1553398058252427
protein_0012,protein_0128,0.36363636363636365
protein_0012,protein_0129,0.2872340425531915
protein_0012,protein_0130,0.16379310344827586
protein_0012,protein_0131,0.19318181818181818
protein_0012,protein_0132,0.22727272727272727
protein_0012,protein_0134,0.3023255813953488
protein_0012,protein_0135,0.28888888888888886
protein_0012,protein_0136,0.11666666666666667
protein_0012,protein_0137,0.11965811965811966
protein_0012,protein_0138,0.11965811965811966
protein_0012,protein_0139,0.1511627906976744
protein_0012,protein_0140,0.5632183908045977
protein_0012,protein_0141,0.2413793103448276
protein_0012,protein_0143,0.3258426966292135
protein_0012,protein_0144,0.3258426966292135
protein_0012,protein_0145,0.17582417582417584
protein_0012,protein_0146,0.14942528735632185
protein_0012,protein_0147,0.42045454545454547
protein_0012,protein_0148,0.39080459770114945
protein_0012,protein_0149,0.1511627906976744
protein_0012,protein_0150,0.29347826086956524
protein_0012,protein_0151,0.20224719101123595
protein_0012,protein_0152,0.17204301075268819
protein_0012,protein_0153,0.20454545454545456
protein_0012,protein_0154,0.19318181818181818
protein_0012,protein_0155,0.1282051282051282
protein_0012,protein_0156,0.16964285714285715
protein_0012,protein_0157,0.14130434782608695
protein_0012,protein_0158,0.20224719101123595
protein_0012,protein_0160,0.313953488372093
protein_0012,protein_0161,0.12698412698412698
protein_0012,protein_0162,0.3333333333333333
protein_0012,protein_0163,0.1792452830188679
protein_0012,protein_0164,0.27586206896551724
protein_0012,protein_0165,0.18181818181818182
protein_0012,protein_0166,0.27586206896551724
protein_0012,protein_0167,0.15178571428571427
protein_0012,protein_0168,0.16666666666666666
protein_0012,protein_0169,0.1111111111111111
protein_0012,protein_0171,0.375
protein_0012,protein_0172,0.15384615384615385
protein_0012,protein_0173,0.35555555555555557
protein_0012,protein_0174,0.3333333333333333
protein_0012,protein_0175,0.3103448275862069
protein_0012,protein_0176,0.1744186046511628
protein_0012,protein_0177,0.1511627906976744
protein_0012,protein_0179,0.13043478260869565
protein_0012,protein_0180,0.3
protein_0012,protein_0181,0.5227272727272727
protein_0012,protein_0182,0.3563218390804598
protein_0012,protein_0183,0.17117117117117117
protein_0012,protein_0185,0.21428571428571427
protein_0012,protein_0187,0.3218390804597701
protein_0012,protein_0188,0.16279069767441862
protein_0012,protein_0189,0.367816091954023
protein_0012,protein_0190,0.5747126436781609
protein_0012,protein_0191,0.3723404255319149
protein_0012,protein_0192,0.3333333333333333
protein_0012,protein_0193,0.39080459770114945
protein_0012,protein_0194,0.3103448275862069
protein_0012,protein_0195,0.5287356321839081
protein_0012,protein_0196,0.4942528735632184
protein_0012,protein_0197,0.6162790697674418
protein_0012,protein_0198,0.3103448275862069
protein_0012,protein_0199,0.2
protein_0012,protein_0200,0.4431818181818182
protein_0012,protein_0201,0.17
protein_0012,protein_0202,0.39080459770114945
protein_0012,protein_0203,0.11965811965811966
protein_0012,protein_0204,0.20224719101123595
protein_0012,protein_0205,0.09722222222222222
protein_0012,protein_0207,0.1450381679389313
protein_0012,protein_0208,0.15517241379310345
protein_0012,protein_0209,0.27586206896551724
protein_0012,protein_0210,0.36363636363636365
protein_0012,protein_0211,0.17307692307692307
protein_0012,protein_0212,0.15730337078651685
protein_0012,protein_0213,0.42857142857142855
protein_0012,protein_0214,0.11956521739130435
protein_0012,protein_0215,0.12790697674418605
protein_0012,protein_0216,0.18
protein_0012,protein_0217,0.14736842105263157
protein_0012,protein_0218,0.13740458015267176
protein_0012,protein_0219,0.1171875
protein_0012,protein_0220,0.27586206896551724
protein_0012,protein_0222,0.5287356321839081
